-5.0, 3.0, 1.0; 1
-4.0, 3.0, 1.0; 1
-1.0, 3.0, 1.0; 1
-4.0, 1.0, -4.0; 1
2.0, 4.0, -8.0; 1
-5.0, -2.0, 0.0; 1
-3.0, -2.0, 0.0; 1
-2.0, -2.0, 0.0; 2
-5.0, -4.0, -5.0; 1
-4.0, 4.0, 1.0; 1
-3.0, 4.0, 1.0; 1
-1.0, -4.0, -5.0; 1
3.0, 2.0, -4.0; 1
-3.0, 5.0, 1.0; 5
-2.0, -3.0, -5.0; 3
-4.0, -6.0, -1.0; 1
-4.0, 0.0, 0.0; 1
-3.0, 0.0, 0.0; 20
1.0
75.8023952096
