3.0, 5.0, 3.0; 3
4.0, 5.0, 3.0; 8
5.0, 5.0, 3.0; 3
6.0, 5.0, 3.0; 3
7.0, 5.0, 3.0; 1
-8.0, 6.0, 3.0; 1
-7.0, 6.0, 3.0; 13
-6.0, 6.0, 3.0; 11
-5.0, 6.0, 3.0; 16
-4.0, 6.0, 3.0; 14
-3.0, 6.0, 3.0; 9
-2.0, 6.0, 3.0; 4
-1.0, 6.0, 3.0; 4
0.0, 6.0, 3.0; 9
1.0, 6.0, 3.0; 5
2.0, 6.0, 3.0; 5
3.0, 6.0, 3.0; 3
4.0, 6.0, 3.0; 6
5.0, 6.0, 3.0; 5
6.0, 6.0, 3.0; 2
-6.0, 7.0, 3.0; 3
-5.0, 7.0, 3.0; 19
-4.0, 7.0, 3.0; 21
-3.0, 7.0, 3.0; 31
-2.0, 7.0, 3.0; 40
-1.0, 7.0, 3.0; 26
0.0, 7.0, 3.0; 19
1.0, 7.0, 3.0; 11
2.0, 7.0, 3.0; 11
3.0, 7.0, 3.0; 5
4.0, 7.0, 3.0; 2
-5.0, 8.0, 3.0; 2
-4.0, 8.0, 3.0; 19
-3.0, 8.0, 3.0; 44
-2.0, 8.0, 3.0; 42
-1.0, 8.0, 3.0; 41
0.0, 8.0, 3.0; 13
1.0, 8.0, 3.0; 5
2.0, 8.0, 3.0; 2
3.0, 8.0, 3.0; 2
4.0, 8.0, 3.0; 1
-3.0, 9.0, 3.0; 3
-2.0, 9.0, 3.0; 6
-1.0, 9.0, 3.0; 5
0.0, 9.0, 3.0; 4
-4.0, -9.0, 4.0; 3
-3.0, -9.0, 4.0; 3
-2.0, -9.0, 4.0; 3
-1.0, -9.0, 4.0; 5
0.0, -9.0, 4.0; 2
2.0, -9.0, 4.0; 3
3.0, -9.0, 4.0; 1
-5.0, -8.0, 4.0; 1
-4.0, -8.0, 4.0; 10
-3.0, -8.0, 4.0; 9
-2.0, -8.0, 4.0; 11
-1.0, -8.0, 4.0; 13
0.0, -8.0, 4.0; 5
1.0, -8.0, 4.0; 5
2.0, -8.0, 4.0; 5
3.0, -8.0, 4.0; 5
4.0, -8.0, 4.0; 4
5.0, -8.0, 4.0; 1
-7.0, -7.0, 4.0; 1
-6.0, -7.0, 4.0; 8
-5.0, -7.0, 4.0; 6
-4.0, -7.0, 4.0; 22
-3.0, -7.0, 4.0; 17
-2.0, -7.0, 4.0; 20
-1.0, -7.0, 4.0; 29
0.0, -7.0, 4.0; 9
1.0, -7.0, 4.0; 2
2.0, -7.0, 4.0; 4
3.0, -7.0, 4.0; 1
4.0, -7.0, 4.0; 1
5.0, -7.0, 4.0; 1
-8.0, -6.0, 4.0; 2
-7.0, -6.0, 4.0; 3
-6.0, -6.0, 4.0; 5
-5.0, -6.0, 4.0; 11
-4.0, -6.0, 4.0; 10
-3.0, -6.0, 4.0; 15
-2.0, -6.0, 4.0; 12
-1.0, -6.0, 4.0; 18
0.0, -6.0, 4.0; 14
1.0, -6.0, 4.0; 10
3.0, -6.0, 4.0; 1
5.0, -6.0, 4.0; 1
-9.0, -5.0, 4.0; 1
-8.0, -5.0, 4.0; 1
-7.0, -5.0, 4.0; 3
-6.0, -5.0, 4.0; 6
-5.0, -5.0, 4.0; 11
-4.0, -5.0, 4.0; 8
-3.0, -5.0, 4.0; 4
-2.0, -5.0, 4.0; 5
-1.0, -5.0, 4.0; 4
0.0, -5.0, 4.0; 5
1.0, -5.0, 4.0; 3
2.0, -5.0, 4.0; 2
3.0, -5.0, 4.0; 1
4.0, -5.0, 4.0; 2
6.0, -5.0, 4.0; 1
-9.0, -4.0, 4.0; 3
-8.0, -4.0, 4.0; 3
-7.0, -4.0, 4.0; 2
-6.0, -4.0, 4.0; 6
-5.0, -4.0, 4.0; 11
-4.0, -4.0, 4.0; 9
-3.0, -4.0, 4.0; 8
-2.0, -4.0, 4.0; 5
-1.0, -4.0, 4.0; 6
0.0, -4.0, 4.0; 3
1.0, -4.0, 4.0; 2
3.0, -4.0, 4.0; 1
7.0, -4.0, 4.0; 1
-9.0, -3.0, 4.0; 5
-8.0, -3.0, 4.0; 3
-7.0, -3.0, 4.0; 4
-6.0, -3.0, 4.0; 5
-5.0, -3.0, 4.0; 13
-4.0, -3.0, 4.0; 10
-3.0, -3.0, 4.0; 6
-2.0, -3.0, 4.0; 17
-1.0, -3.0, 4.0; 14
0.0, -3.0, 4.0; 3
1.0, -3.0, 4.0; 4
2.0, -3.0, 4.0; 1
7.0, -3.0, 4.0; 1
-9.0, -2.0, 4.0; 2
-8.0, -2.0, 4.0; 1
-7.0, -2.0, 4.0; 1
-6.0, -2.0, 4.0; 2
-5.0, -2.0, 4.0; 17
-4.0, -2.0, 4.0; 12
-3.0, -2.0, 4.0; 5
-2.0, -2.0, 4.0; 10
-1.0, -2.0, 4.0; 31
0.0, -2.0, 4.0; 19
1.0, -2.0, 4.0; 2
3.0, -2.0, 4.0; 1
-9.0, -1.0, 4.0; 1
-8.0, -1.0, 4.0; 4
-7.0, -1.0, 4.0; 3
-6.0, -1.0, 4.0; 2
-5.0, -1.0, 4.0; 9
-4.0, -1.0, 4.0; 18
-3.0, -1.0, 4.0; 37
-2.0, -1.0, 4.0; 46
-1.0, -1.0, 4.0; 36
0.0, -1.0, 4.0; 34
1.0, -1.0, 4.0; 6
3.0, -1.0, 4.0; 1
4.0, -1.0, 4.0; 2
5.0, -1.0, 4.0; 1
6.0, -1.0, 4.0; 1
-8.0, 0.0, 4.0; 2
-7.0, 0.0, 4.0; 4
-6.0, 0.0, 4.0; 5
-5.0, 0.0, 4.0; 7
-4.0, 0.0, 4.0; 13
-3.0, 0.0, 4.0; 9
-2.0, 0.0, 4.0; 11
-1.0, 0.0, 4.0; 7
0.0, 0.0, 4.0; 4
1.0, 0.0, 4.0; 1
2.0, 0.0, 4.0; 2
3.0, 0.0, 4.0; 1
4.0, 0.0, 4.0; 1
5.0, 0.0, 4.0; 1
-9.0, 1.0, 4.0; 2
-8.0, 1.0, 4.0; 3
-7.0, 1.0, 4.0; 4
-6.0, 1.0, 4.0; 2
-5.0, 1.0, 4.0; 2
-4.0, 1.0, 4.0; 3
-3.0, 1.0, 4.0; 4
-2.0, 1.0, 4.0; 10
-1.0, 1.0, 4.0; 3
0.0, 1.0, 4.0; 6
1.0, 1.0, 4.0; 2
2.0, 1.0, 4.0; 3
3.0, 1.0, 4.0; 2
5.0, 1.0, 4.0; 1
-9.0, 2.0, 4.0; 6
-8.0, 2.0, 4.0; 8
-7.0, 2.0, 4.0; 3
-5.0, 2.0, 4.0; 2
-3.0, 2.0, 4.0; 2
-2.0, 2.0, 4.0; 3
-1.0, 2.0, 4.0; 5
0.0, 2.0, 4.0; 21
1.0, 2.0, 4.0; 7
2.0, 2.0, 4.0; 7
3.0, 2.0, 4.0; 4
4.0, 2.0, 4.0; 1
7.0, 2.0, 4.0; 1
-9.0, 3.0, 4.0; 1
-8.0, 3.0, 4.0; 9
-7.0, 3.0, 4.0; 4
-6.0, 3.0, 4.0; 1
-5.0, 3.0, 4.0; 3
-4.0, 3.0, 4.0; 1
-3.0, 3.0, 4.0; 1
-2.0, 3.0, 4.0; 2
-1.0, 3.0, 4.0; 2
0.0, 3.0, 4.0; 13
1.0, 3.0, 4.0; 9
2.0, 3.0, 4.0; 8
3.0, 3.0, 4.0; 1
4.0, 3.0, 4.0; 5
6.0, 3.0, 4.0; 1
7.0, 3.0, 4.0; 1
-8.0, 4.0, 4.0; 4
-7.0, 4.0, 4.0; 4
-6.0, 4.0, 4.0; 9
-5.0, 4.0, 4.0; 5
-4.0, 4.0, 4.0; 3
-3.0, 4.0, 4.0; 2
-2.0, 4.0, 4.0; 1
-1.0, 4.0, 4.0; 4
0.0, 4.0, 4.0; 6
1.0, 4.0, 4.0; 10
2.0, 4.0, 4.0; 5
4.0, 4.0, 4.0; 1
5.0, 4.0, 4.0; 1
6.0, 4.0, 4.0; 4
-8.0, 5.0, 4.0; 1
-7.0, 5.0, 4.0; 6
-6.0, 5.0, 4.0; 9
-5.0, 5.0, 4.0; 10
-4.0, 5.0, 4.0; 16
-3.0, 5.0, 4.0; 9
-2.0, 5.0, 4.0; 3
-1.0, 5.0, 4.0; 4
0.0, 5.0, 4.0; 7
1.0, 5.0, 4.0; 10
2.0, 5.0, 4.0; 5
3.0, 5.0, 4.0; 2
4.0, 5.0, 4.0; 5
5.0, 5.0, 4.0; 3
6.0, 5.0, 4.0; 1
-7.0, 6.0, 4.0; 5
-6.0, 6.0, 4.0; 6
-5.0, 6.0, 4.0; 15
-4.0, 6.0, 4.0; 18
-3.0, 6.0, 4.0; 17
-2.0, 6.0, 4.0; 15
-1.0, 6.0, 4.0; 13
0.0, 6.0, 4.0; 8
1.0, 6.0, 4.0; 7
2.0, 6.0, 4.0; 5
3.0, 6.0, 4.0; 4
4.0, 6.0, 4.0; 7
5.0, 6.0, 4.0; 3
-6.0, 7.0, 4.0; 1
-5.0, 7.0, 4.0; 16
-4.0, 7.0, 4.0; 19
-3.0, 7.0, 4.0; 29
-2.0, 7.0, 4.0; 29
-1.0, 7.0, 4.0; 28
0.0, 7.0, 4.0; 9
1.0, 7.0, 4.0; 3
2.0, 7.0, 4.0; 4
3.0, 7.0, 4.0; 5
4.0, 7.0, 4.0; 1
-4.0, 8.0, 4.0; 7
-3.0, 8.0, 4.0; 13
-2.0, 8.0, 4.0; 14
-1.0, 8.0, 4.0; 14
0.0, 8.0, 4.0; 5
1.0, 8.0, 4.0; 1
-2.0, -9.0, 5.0; 1
-1.0, -9.0, 5.0; 1
0.0, -9.0, 5.0; 1
2.0, -9.0, 5.0; 1
-5.0, -8.0, 5.0; 1
-4.0, -8.0, 5.0; 7
-3.0, -8.0, 5.0; 5
-2.0, -8.0, 5.0; 9
-1.0, -8.0, 5.0; 5
0.0, -8.0, 5.0; 4
1.0, -8.0, 5.0; 2
2.0, -8.0, 5.0; 4
3.0, -8.0, 5.0; 5
4.0, -8.0, 5.0; 2
-6.0, -7.0, 5.0; 4
-5.0, -7.0, 5.0; 5
-4.0, -7.0, 5.0; 4
-3.0, -7.0, 5.0; 6
-2.0, -7.0, 5.0; 5
-1.0, -7.0, 5.0; 13
0.0, -7.0, 5.0; 4
1.0, -7.0, 5.0; 2
2.0, -7.0, 5.0; 3
3.0, -7.0, 5.0; 3
4.0, -7.0, 5.0; 4
-7.0, -6.0, 5.0; 4
-6.0, -6.0, 5.0; 7
-5.0, -6.0, 5.0; 5
-4.0, -6.0, 5.0; 5
-3.0, -6.0, 5.0; 4
-2.0, -6.0, 5.0; 8
-1.0, -6.0, 5.0; 5
0.0, -6.0, 5.0; 4
1.0, -6.0, 5.0; 2
2.0, -6.0, 5.0; 4
3.0, -6.0, 5.0; 2
-7.0, -5.0, 5.0; 13
-6.0, -5.0, 5.0; 4
-5.0, -5.0, 5.0; 7
-4.0, -5.0, 5.0; 5
-3.0, -5.0, 5.0; 5
-2.0, -5.0, 5.0; 1
3.0, -5.0, 5.0; 1
-8.0, -4.0, 5.0; 5
-7.0, -4.0, 5.0; 6
-6.0, -4.0, 5.0; 2
-5.0, -4.0, 5.0; 4
-4.0, -4.0, 5.0; 5
-3.0, -4.0, 5.0; 7
-2.0, -4.0, 5.0; 6
-1.0, -4.0, 5.0; 1
1.0, -4.0, 5.0; 2
2.0, -4.0, 5.0; 1
4.0, -4.0, 5.0; 1
-8.0, -3.0, 5.0; 1
-7.0, -3.0, 5.0; 1
-6.0, -3.0, 5.0; 1
-5.0, -3.0, 5.0; 1
-4.0, -3.0, 5.0; 4
-2.0, -3.0, 5.0; 3
-1.0, -3.0, 5.0; 1
0.0, -3.0, 5.0; 4
1.0, -3.0, 5.0; 3
2.0, -3.0, 5.0; 2
4.0, -3.0, 5.0; 1
6.0, -3.0, 5.0; 2
-9.0, -2.0, 5.0; 1
-8.0, -2.0, 5.0; 1
-7.0, -2.0, 5.0; 1
-5.0, -2.0, 5.0; 1
-4.0, -2.0, 5.0; 2
-3.0, -2.0, 5.0; 1
-1.0, -2.0, 5.0; 2
1.0, -2.0, 5.0; 3
3.0, -2.0, 5.0; 1
5.0, -2.0, 5.0; 1
-8.0, -1.0, 5.0; 3
-4.0, -1.0, 5.0; 1
-3.0, -1.0, 5.0; 1
-2.0, -1.0, 5.0; 1
-1.0, -1.0, 5.0; 3
0.0, -1.0, 5.0; 4
1.0, -1.0, 5.0; 2
2.0, -1.0, 5.0; 2
4.0, -1.0, 5.0; 1
-8.0, 0.0, 5.0; 3
-7.0, 0.0, 5.0; 4
-6.0, 0.0, 5.0; 4
-5.0, 0.0, 5.0; 6
-4.0, 0.0, 5.0; 4
-3.0, 0.0, 5.0; 2
-2.0, 0.0, 5.0; 5
-1.0, 0.0, 5.0; 1
0.0, 0.0, 5.0; 3
1.0, 0.0, 5.0; 3
2.0, 0.0, 5.0; 1
4.0, 0.0, 5.0; 1
6.0, 0.0, 5.0; 1
-8.0, 1.0, 5.0; 1
-7.0, 1.0, 5.0; 3
-6.0, 1.0, 5.0; 3
-5.0, 1.0, 5.0; 3
-4.0, 1.0, 5.0; 1
-3.0, 1.0, 5.0; 1
-2.0, 1.0, 5.0; 3
-1.0, 1.0, 5.0; 3
0.0, 1.0, 5.0; 1
1.0, 1.0, 5.0; 2
2.0, 1.0, 5.0; 2
3.0, 1.0, 5.0; 2
4.0, 1.0, 5.0; 1
-8.0, 2.0, 5.0; 3
-7.0, 2.0, 5.0; 2
-6.0, 2.0, 5.0; 6
-5.0, 2.0, 5.0; 2
-4.0, 2.0, 5.0; 1
-3.0, 2.0, 5.0; 2
-2.0, 2.0, 5.0; 4
-1.0, 2.0, 5.0; 3
0.0, 2.0, 5.0; 8
1.0, 2.0, 5.0; 1
2.0, 2.0, 5.0; 1
3.0, 2.0, 5.0; 1
5.0, 2.0, 5.0; 2
-8.0, 3.0, 5.0; 2
-7.0, 3.0, 5.0; 4
-6.0, 3.0, 5.0; 4
-5.0, 3.0, 5.0; 2
-4.0, 3.0, 5.0; 5
-3.0, 3.0, 5.0; 2
-2.0, 3.0, 5.0; 3
-1.0, 3.0, 5.0; 7
0.0, 3.0, 5.0; 1
1.0, 3.0, 5.0; 1
2.0, 3.0, 5.0; 1
3.0, 3.0, 5.0; 2
4.0, 3.0, 5.0; 2
5.0, 3.0, 5.0; 2
-7.0, 4.0, 5.0; 4
-6.0, 4.0, 5.0; 9
-5.0, 4.0, 5.0; 3
-4.0, 4.0, 5.0; 9
-3.0, 4.0, 5.0; 3
0.0, 4.0, 5.0; 2
1.0, 4.0, 5.0; 2
2.0, 4.0, 5.0; 5
3.0, 4.0, 5.0; 3
4.0, 4.0, 5.0; 4
5.0, 4.0, 5.0; 6
-6.0, 5.0, 5.0; 5
-5.0, 5.0, 5.0; 6
-4.0, 5.0, 5.0; 5
-3.0, 5.0, 5.0; 4
-2.0, 5.0, 5.0; 9
-1.0, 5.0, 5.0; 6
0.0, 5.0, 5.0; 7
1.0, 5.0, 5.0; 4
2.0, 5.0, 5.0; 4
3.0, 5.0, 5.0; 3
4.0, 5.0, 5.0; 4
5.0, 5.0, 5.0; 2
-6.0, 6.0, 5.0; 2
-5.0, 6.0, 5.0; 5
-4.0, 6.0, 5.0; 7
-3.0, 6.0, 5.0; 9
-2.0, 6.0, 5.0; 4
-1.0, 6.0, 5.0; 3
0.0, 6.0, 5.0; 6
1.0, 6.0, 5.0; 3
2.0, 6.0, 5.0; 4
3.0, 6.0, 5.0; 11
4.0, 6.0, 5.0; 10
5.0, 6.0, 5.0; 2
-4.0, 7.0, 5.0; 6
-3.0, 7.0, 5.0; 8
-2.0, 7.0, 5.0; 9
-1.0, 7.0, 5.0; 8
0.0, 7.0, 5.0; 4
1.0, 7.0, 5.0; 2
2.0, 7.0, 5.0; 1
-2.0, 8.0, 5.0; 1
0.0, 8.0, 5.0; 2
1.0, 8.0, 5.0; 1
-3.0, -8.0, 6.0; 1
-2.0, -8.0, 6.0; 1
-1.0, -8.0, 6.0; 4
0.0, -8.0, 6.0; 1
2.0, -8.0, 6.0; 1
-5.0, -7.0, 6.0; 2
-4.0, -7.0, 6.0; 6
-3.0, -7.0, 6.0; 5
-2.0, -7.0, 6.0; 5
-1.0, -7.0, 6.0; 9
0.0, -7.0, 6.0; 3
1.0, -7.0, 6.0; 2
2.0, -7.0, 6.0; 1
3.0, -7.0, 6.0; 2
-6.0, -6.0, 6.0; 1
-5.0, -6.0, 6.0; 10
-4.0, -6.0, 6.0; 2
-3.0, -6.0, 6.0; 3
-2.0, -6.0, 6.0; 3
-1.0, -6.0, 6.0; 1
0.0, -6.0, 6.0; 3
1.0, -6.0, 6.0; 1
2.0, -6.0, 6.0; 1
3.0, -6.0, 6.0; 2
4.0, -6.0, 6.0; 1
-7.0, -5.0, 6.0; 2
-6.0, -5.0, 6.0; 5
-5.0, -5.0, 6.0; 6
-4.0, -5.0, 6.0; 5
-3.0, -5.0, 6.0; 1
-2.0, -5.0, 6.0; 2
0.0, -5.0, 6.0; 2
2.0, -5.0, 6.0; 1
3.0, -5.0, 6.0; 1
5.0, -5.0, 6.0; 1
-7.0, -4.0, 6.0; 5
-6.0, -4.0, 6.0; 3
-5.0, -4.0, 6.0; 3
-4.0, -4.0, 6.0; 4
-3.0, -4.0, 6.0; 8
-2.0, -4.0, 6.0; 1
-1.0, -4.0, 6.0; 1
4.0, -4.0, 6.0; 1
6.0, -4.0, 6.0; 1
-7.0, -3.0, 6.0; 3
-6.0, -3.0, 6.0; 1
-5.0, -3.0, 6.0; 1
-3.0, -3.0, 6.0; 2
-1.0, -3.0, 6.0; 2
1.0, -3.0, 6.0; 1
2.0, -3.0, 6.0; 1
3.0, -3.0, 6.0; 1
5.0, -3.0, 6.0; 1
-7.0, -2.0, 6.0; 1
-6.0, -2.0, 6.0; 1
-5.0, -2.0, 6.0; 1
-4.0, -2.0, 6.0; 2
-3.0, -2.0, 6.0; 1
-2.0, -2.0, 6.0; 1
-1.0, -2.0, 6.0; 3
1.0, -2.0, 6.0; 3
-7.0, -1.0, 6.0; 1
-5.0, -1.0, 6.0; 1
-4.0, -1.0, 6.0; 1
-1.0, -1.0, 6.0; 1
0.0, -1.0, 6.0; 2
3.0, -1.0, 6.0; 2
-7.0, 0.0, 6.0; 2
-3.0, 0.0, 6.0; 1
-2.0, 0.0, 6.0; 1
0.0, 0.0, 6.0; 3
1.0, 0.0, 6.0; 2
2.0, 0.0, 6.0; 1
-7.0, 1.0, 6.0; 1
-6.0, 1.0, 6.0; 2
-4.0, 1.0, 6.0; 1
4.0, 1.0, 6.0; 1
-7.0, 2.0, 6.0; 1
-6.0, 2.0, 6.0; 3
-5.0, 2.0, 6.0; 2
-4.0, 2.0, 6.0; 2
-3.0, 2.0, 6.0; 1
-1.0, 2.0, 6.0; 1
0.0, 2.0, 6.0; 2
2.0, 2.0, 6.0; 2
3.0, 2.0, 6.0; 2
4.0, 2.0, 6.0; 2
5.0, 2.0, 6.0; 2
6.0, 2.0, 6.0; 1
-7.0, 3.0, 6.0; 2
-6.0, 3.0, 6.0; 1
-5.0, 3.0, 6.0; 1
-4.0, 3.0, 6.0; 4
-1.0, 3.0, 6.0; 2
0.0, 3.0, 6.0; 2
1.0, 3.0, 6.0; 1
2.0, 3.0, 6.0; 1
3.0, 3.0, 6.0; 2
4.0, 3.0, 6.0; 1
-7.0, 4.0, 6.0; 1
-6.0, 4.0, 6.0; 3
-5.0, 4.0, 6.0; 3
-4.0, 4.0, 6.0; 3
-2.0, 4.0, 6.0; 3
-1.0, 4.0, 6.0; 5
0.0, 4.0, 6.0; 2
1.0, 4.0, 6.0; 2
2.0, 4.0, 6.0; 4
3.0, 4.0, 6.0; 4
6.0, 4.0, 6.0; 1
-5.0, 5.0, 6.0; 2
-4.0, 5.0, 6.0; 1
-3.0, 5.0, 6.0; 3
-2.0, 5.0, 6.0; 3
-1.0, 5.0, 6.0; 7
0.0, 5.0, 6.0; 4
1.0, 5.0, 6.0; 3
2.0, 5.0, 6.0; 4
3.0, 5.0, 6.0; 3
4.0, 5.0, 6.0; 2
-4.0, 6.0, 6.0; 2
-3.0, 6.0, 6.0; 1
-2.0, 6.0, 6.0; 4
-1.0, 6.0, 6.0; 5
0.0, 6.0, 6.0; 2
1.0, 6.0, 6.0; 3
2.0, 6.0, 6.0; 1
3.0, 6.0, 6.0; 1
-3.0, 7.0, 6.0; 1
-2.0, 7.0, 6.0; 2
0.0, 7.0, 6.0; 2
-2.0, -7.0, 7.0; 3
-1.0, -7.0, 7.0; 1
0.0, -7.0, 7.0; 3
1.0, -7.0, 7.0; 1
-4.0, -6.0, 7.0; 2
-3.0, -6.0, 7.0; 4
-2.0, -6.0, 7.0; 3
-1.0, -6.0, 7.0; 3
0.0, -6.0, 7.0; 1
1.0, -6.0, 7.0; 1
2.0, -6.0, 7.0; 1
3.0, -6.0, 7.0; 2
4.0, -6.0, 7.0; 1
-5.0, -5.0, 7.0; 4
-4.0, -5.0, 7.0; 4
-3.0, -5.0, 7.0; 6
-2.0, -5.0, 7.0; 1
0.0, -5.0, 7.0; 1
1.0, -5.0, 7.0; 1
-6.0, -4.0, 7.0; 2
-5.0, -4.0, 7.0; 1
-4.0, -4.0, 7.0; 3
-3.0, -4.0, 7.0; 3
-2.0, -4.0, 7.0; 2
1.0, -4.0, 7.0; 1
3.0, -4.0, 7.0; 1
-6.0, -3.0, 7.0; 4
-5.0, -3.0, 7.0; 4
-4.0, -3.0, 7.0; 4
-3.0, -3.0, 7.0; 1
0.0, -3.0, 7.0; 1
1.0, -3.0, 7.0; 1
5.0, -3.0, 7.0; 1
-6.0, -2.0, 7.0; 3
-5.0, -2.0, 7.0; 2
-4.0, -2.0, 7.0; 1
-3.0, -2.0, 7.0; 2
-2.0, -2.0, 7.0; 3
1.0, -2.0, 7.0; 1
3.0, -2.0, 7.0; 2
-6.0, -1.0, 7.0; 1
-5.0, -1.0, 7.0; 1
-4.0, -1.0, 7.0; 3
-3.0, -1.0, 7.0; 2
-2.0, -1.0, 7.0; 2
-1.0, -1.0, 7.0; 4
0.0, -1.0, 7.0; 1
-7.0, 0.0, 7.0; 1
-6.0, 0.0, 7.0; 1
-5.0, 0.0, 7.0; 1
-4.0, 0.0, 7.0; 2
-3.0, 0.0, 7.0; 3
-1.0, 0.0, 7.0; 1
0.0, 0.0, 7.0; 1
-7.0, 1.0, 7.0; 1
-6.0, 1.0, 7.0; 2
-4.0, 1.0, 7.0; 1
-1.0, 1.0, 7.0; 1
3.0, 1.0, 7.0; 2
-5.0, 2.0, 7.0; 2
-4.0, 2.0, 7.0; 1
-3.0, 2.0, 7.0; 1
-2.0, 2.0, 7.0; 4
-1.0, 2.0, 7.0; 1
1.0, 2.0, 7.0; 1
3.0, 2.0, 7.0; 1
-6.0, 3.0, 7.0; 1
-5.0, 3.0, 7.0; 1
-3.0, 3.0, 7.0; 3
-2.0, 3.0, 7.0; 2
1.0, 3.0, 7.0; 2
3.0, 3.0, 7.0; 3
-5.0, 4.0, 7.0; 1
-3.0, 4.0, 7.0; 4
-2.0, 4.0, 7.0; 5
-1.0, 4.0, 7.0; 1
0.0, 4.0, 7.0; 3
1.0, 4.0, 7.0; 1
-5.0, 5.0, 7.0; 1
-3.0, 5.0, 7.0; 3
-2.0, 5.0, 7.0; 2
2.0, 5.0, 7.0; 1
-3.0, 6.0, 7.0; 1
-1.0, 6.0, 7.0; 1
0.0, 6.0, 7.0; 2
-1.0, -6.0, 8.0; 2
-4.0, -5.0, 8.0; 2
-2.0, -5.0, 8.0; 1
0.0, -5.0, 8.0; 1
-3.0, -4.0, 8.0; 1
-1.0, -4.0, 8.0; 2
0.0, -4.0, 8.0; 2
1.0, -4.0, 8.0; 1
2.0, -4.0, 8.0; 2
-5.0, -3.0, 8.0; 2
-4.0, -3.0, 8.0; 4
-2.0, -3.0, 8.0; 1
2.0, -3.0, 8.0; 1
-6.0, -2.0, 8.0; 1
-3.0, -2.0, 8.0; 1
-2.0, -2.0, 8.0; 2
1.0, -2.0, 8.0; 1
-1.0, -1.0, 8.0; 1
0.0, -1.0, 8.0; 1
3.0, -1.0, 8.0; 1
-6.0, 0.0, 8.0; 1
-5.0, 0.0, 8.0; 2
-4.0, 0.0, 8.0; 2
4.0, 0.0, 8.0; 1
-5.0, 1.0, 8.0; 1
-2.0, 1.0, 8.0; 1
0.0, 1.0, 8.0; 1
-1.0, 2.0, 8.0; 1
1.0, 2.0, 8.0; 1
2.0, 2.0, 8.0; 1
-4.0, 3.0, 8.0; 1
-2.0, 3.0, 8.0; 1
1.0, 3.0, 8.0; 2
3.0, 3.0, 8.0; 1
-2.0, 4.0, 8.0; 1
0.0, -3.0, 9.0; 1
-4.0, -1.0, 9.0; 2
-3.0, -1.0, 9.0; 1
-2.0, -1.0, 9.0; 1
0.0, -1.0, 9.0; 1
-1.0, 0.0, 9.0; 1
3.0, 1.0, 9.0; 1
-1.0, -4.0, -10.0; 3
0.0, -4.0, -10.0; 1
-2.0, -3.0, -10.0; 5
-1.0, -3.0, -10.0; 5
0.0, -3.0, -10.0; 2
-3.0, -2.0, -10.0; 2
-2.0, -2.0, -10.0; 4
-1.0, -2.0, -10.0; 7
0.0, -2.0, -10.0; 1
1.0, -2.0, -10.0; 1
2.0, -2.0, -10.0; 1
3.0, -2.0, -10.0; 1
-4.0, -1.0, -10.0; 2
-3.0, -1.0, -10.0; 2
-1.0, -1.0, -10.0; 5
0.0, -1.0, -10.0; 2
1.0, -1.0, -10.0; 1
3.0, -1.0, -10.0; 3
-4.0, 0.0, -10.0; 1
-3.0, 0.0, -10.0; 3
-2.0, 0.0, -10.0; 3
-1.0, 0.0, -10.0; 4
0.0, 0.0, -10.0; 1
1.0, 0.0, -10.0; 2
2.0, 0.0, -10.0; 1
3.0, 0.0, -10.0; 3
-4.0, 1.0, -10.0; 1
-3.0, 1.0, -10.0; 1
2.0, 1.0, -10.0; 2
3.0, 1.0, -10.0; 2
0.0, 2.0, -10.0; 1
-2.0, 3.0, -10.0; 1
-1.0, 3.0, -10.0; 1
0.0, 3.0, -10.0; 1
-1.0, -6.0, -9.0; 3
0.0, -6.0, -9.0; 5
1.0, -6.0, -9.0; 5
-3.0, -5.0, -9.0; 1
-2.0, -5.0, -9.0; 2
-1.0, -5.0, -9.0; 6
0.0, -5.0, -9.0; 2
1.0, -5.0, -9.0; 5
-3.0, -4.0, -9.0; 3
-2.0, -4.0, -9.0; 2
-1.0, -4.0, -9.0; 6
0.0, -4.0, -9.0; 1
1.0, -4.0, -9.0; 6
2.0, -4.0, -9.0; 3
-3.0, -3.0, -9.0; 2
-2.0, -3.0, -9.0; 2
-1.0, -3.0, -9.0; 1
0.0, -3.0, -9.0; 2
1.0, -3.0, -9.0; 10
2.0, -3.0, -9.0; 15
3.0, -3.0, -9.0; 1
4.0, -3.0, -9.0; 1
-6.0, -2.0, -9.0; 1
-5.0, -2.0, -9.0; 3
-4.0, -2.0, -9.0; 2
-3.0, -2.0, -9.0; 3
-2.0, -2.0, -9.0; 2
-1.0, -2.0, -9.0; 2
0.0, -2.0, -9.0; 2
1.0, -2.0, -9.0; 4
2.0, -2.0, -9.0; 8
3.0, -2.0, -9.0; 1
4.0, -2.0, -9.0; 1
-6.0, -1.0, -9.0; 2
-5.0, -1.0, -9.0; 3
-4.0, -1.0, -9.0; 3
-3.0, -1.0, -9.0; 8
-2.0, -1.0, -9.0; 2
-1.0, -1.0, -9.0; 5
0.0, -1.0, -9.0; 1
1.0, -1.0, -9.0; 6
2.0, -1.0, -9.0; 2
3.0, -1.0, -9.0; 2
4.0, -1.0, -9.0; 1
5.0, -1.0, -9.0; 1
-6.0, 0.0, -9.0; 3
-5.0, 0.0, -9.0; 2
-4.0, 0.0, -9.0; 5
-3.0, 0.0, -9.0; 10
